City,Country,Temperature (F),Humidity,Cloudiness,Wind Speed (mph),Longitude,Latitude
Alella,ES,64.8,88,0,2.24,2.29,41.49
Elverson,US,66.13,100,1,3.36,-75.83,40.16
Villanueva del Rebollar,ES,52.77,71,0,5.82,-4.73,42.24
Pantalowice,PL,51.76,100,75,6.93,22.44,49.95
Sainte-Foy,FR,53.35,100,0,3.36,-1.67,46.55
The Leap,AU,83.84,24,98,10.29,149.02,-21.08
Algua,IT,67.3,68,75,5.82,9.72,45.83
Cerna Hora,CZ,53.24,87,0,2.24,16.58,49.41
Maggotty,JM,80.6,83,20,4.7,-77.76,18.16
Zhishan,CN,83.1,77,36,2.91,118.33,27.04
Unterboihingen,DE,50.76,87,0,1.9,9.37,48.67
Grodzisk Mazowiecki,PL,60.67,72,0,5.82,20.63,52.11
Peguerinos,ES,64.02,40,0,2.24,-4.23,40.63
Freehold,US,64.49,100,75,5.35,-74.27,40.26
Travenhorst,DE,57.43,87,75,3.36,10.45,54.02
Okhansk,RU,53.6,87,0,4.47,55.39,57.72
Sedrata,DZ,63.3,73,0,4.54,7.53,36.13
Blumenthal,DE,57.6,93,40,8.05,10.0,54.23
Binidayan,PH,82.38,70,97,5.14,124.17,7.81
Angadanan,PH,84.9,71,100,6.17,121.75,16.76
Lebanon County,US,66.58,88,1,3.36,-76.62,40.5
Rabanal Viejo,ES,54.14,81,0,1.39,-6.27,42.49
Sapatgram,IN,90.12,69,70,8.52,90.11,26.33
Atucha,AR,36.99,47,0,1.99,-59.29,-33.98
Alekseyevka,RU,74.46,35,0,3.58,39.23,44.19
Shanhu,CN,76.96,98,99,6.35,120.32,32.18
Painswick,GB,58.73,100,90,11.41,-2.2,51.79
Leon Valley,US,79.18,65,1,5.82,-98.62,29.5
Turt,MN,46.56,88,93,4.16,100.66,51.51
North Browning,US,66.78,28,1,10.29,-113.01,48.57
Bitangan,PH,89.56,66,40,13.87,120.88,14.25
Vuglyar,UA,74.82,36,77,5.53,38.15,48.02
Burnaby,CA,62.29,77,1,8.05,-122.95,49.27
Burgettstown,US,67.5,82,40,6.87,-80.39,40.38
Ban Fang,TH,86.0,79,75,4.7,102.64,16.45
Hroznetin,CZ,52.02,70,0,1.12,12.87,50.31
Linkenholt,GB,59.85,100,90,11.41,-1.48,51.32
Una,IN,90.66,59,0,4.65,76.28,31.48
Espeja,ES,55.99,62,0,1.9,-6.72,40.57
Apaxtla de Castrejon,MX,70.0,84,22,1.3,-99.87,18.15
Unterschleissheim,DE,49.05,100,0,1.12,11.57,48.28
Kaufbach,DE,52.65,81,0,2.24,13.57,51.05
Kawit,ID,80.04,50,86,9.06,120.55,-8.72
Makadi Bay,EG,82.4,54,0,12.75,33.9,26.99
